Rank,Username,Categories,Suscribers,Country,Visits,Likes,Comments,Links
45,badabunOficial,Lifestyle_(sociology),"47,000,000",MX,"6,800",260,4,http://youtube.com/channel/UCYWOjHweP2V-8kGKmmAmQJQ
46,Fernanfloo,Entertainment,"46,500,000",SV,0,0,0,http://youtube.com/channel/UCV4xOVpbcV8SdueDCOxLXtQ
47,BadBunnyPR,Music_of_Latin_America,"46,500,000",PR,0,0,0,http://youtube.com/channel/UCmBA_wu8xGg1OfOkfW13Q0Q
48,HarPalGeoOfficial,Film,"46,400,000",PK,"11,000",299,2,http://youtube.com/channel/UCe9JSDmyqNgA_l2BzGHq1Ug
49,vootkids,Film,"46,000,000",IN,"540,900","3,400",0,http://youtube.com/channel/UCJg19noZp7-BYIGvypu_cow
50,ARYDigitalasia,Entertainment,"45,900,000",PK,"20,000",242,13,http://youtube.com/channel/UC4JCksJF76g_MdzPVBJoC3Q
51,felipeneto,Lifestyle_(sociology),"45,600,000",BR,"850,600","82,100","1,100",http://youtube.com/channel/UCV306eHqgo0LvBf3Mh36AHg
52,abscbnentertainment,Television_program,"45,000,000",PH,"6,100",180,2,http://youtube.com/channel/UCstEtN0pgOmCf02EdXsGChw
53,vcsabiavideos,Entertainment,"45,000,000",BR,"665,700","39,800",593,http://youtube.com/channel/UCj0O6W8yDuLg3iraAXKgCrQ
54,BRIGHTSIDEOFFICIAL,Film,"44,600,000",CY,"22,700",430,21,http://youtube.com/channel/UC4rlAVgAK0SGk-yTfe48Qpw
55,KatyPerry,Pop_music,"44,400,000",US,"101,400","7,500",177,http://youtube.com/channel/UCYvmuw-JtVrTZQ-7Y4kd63Q
56,Shakira,Lifestyle_(sociology),"44,400,000",CO,"102,100","8,200",210,http://youtube.com/channel/UCYLNGLIzMhRTi6ZOLjAPSmw
57,whindersson,Entertainment,"44,400,000",BR,"174,600","35,700",154,http://youtube.com/channel/UC3KQ5GWANYF8lChqjZpXsQw
58,MashaBearRUSSIAN,Television_program,"44,200,000",RU,"664,500","5,700",0,http://youtube.com/channel/UCRv76wLBC73jiP7LX4C3l8Q
59,Alanwalkermusic,Music,"44,000,000",NO,"124,700","8,200",205,http://youtube.com/channel/UCJrOtniJ0-NWz37R30urifQ
60,MashaBearEN,Television_program,"43,700,000",US,"856,200","7,500",0,http://youtube.com/channel/UCu59yAFE8fM0sVNTipR4edw
